i m 	j ai ans 
we re ready 	nous sommes pretes 
we re saved 	nous sommes sauves 
we re saved 	nous sommes sauvees 
we re smart 	nous sommes intelligents 
we re smart 	nous sommes intelligentes 
we re sorry 	nous sommes desoles 
we re sorry 	nous sommes desolees 
we re stuck 	nous sommes coinces 
we re stuck 	nous sommes coincees 
we re tired 	nous sommes fatigues 
we re tired 	nous sommes fatiguees 
we re twins 	nous sommes jumeaux 
we re twins 	nous sommes jumelles 
you are big 	tu es grand 
you are big 	tu es grande 
you are big 	vous etes grand 
you are big 	vous etes grande 
you are big 	vous etes grands 
you are big 	vous etes grandes 
you are mad 	tu es fou 
you re back 	tu es de retour 
you re back 	vous etes de retour 
you re cool 	t es sympa 
you re cool 	t es decontracte 
you re fair 	tu es juste 
you re fair 	vous etes juste 
you re fair 	vous etes justes 
you re fine 	tu vas bien 
you re free 	tu es libre 
you re free 	vous etes libres 
you re free 	vous etes libre 
you re good 	vous etes bon 
you re good 	vous etes bonne 
you re good 	vous etes bons 
you re good 	vous etes bonnes 
you re good 	tu es bon 
you re good 	tu es bonne 
you re good 	t es bon 
you re good 	t es bonne 
you re kind 	tu es gentil 
you re kind 	tu es gentille 
you re lazy 	tu es paresseux 
you re lazy 	tu es paresseuse 
you re lazy 	vous etes paresseux 
you re lazy 	vous etes paresseuses 
you re lazy 	vous etes paresseuse 
you re lost 	tu es perdu 
you re lost 	tu es perdue 
you re nice 	t es sympa 
you re nice 	vous etes sympa 
you re nice 	vous etes sympas 
you re nuts 	tu es fou 
you re nuts 	t es dingue 
you re nuts 	vous etes dingue 
you re nuts 	vous etes dingues 
you re nuts 	t es givre 
you re nuts 	t es givree 
you re nuts 	vous etes givre 
you re nuts 	vous etes givree 
you re nuts 	vous etes givres 
you re nuts 	vous etes givrees 
you re rich 	tu es riche 
you re rich 	vous etes riche 
you re rich 	vous etes riches 
you re rude 	tu es grossier 
you re rude 	vous etes grossiers 
you re rude 	vous etes grossiere 
you re rude 	vous etes grossieres 
you re rude 	tu es grossiere 
you re safe 	tu es en securite 
you re safe 	vous etes en securite 
you re safe 	tu es sauf 
you re safe 	vous etes saufs 
you re safe 	vous etes sauf 
you re safe 	vous etes sauve 
you re safe 	vous etes sauves 
you re safe 	tu es sauve 
you re sick 	vous etes malade 
you re sick 	tu es malade 
you re sick 	vous etes malade 
you re thin 	tu es mince 
you re thin 	vous etes mince 
you re thin 	vous etes minces 
you re weak 	tu es faible 
you re weak 	vous etes faible 
you re weak 	vous etes faibles 
he is a poet 	c est un poete 
he is a poet 	il est poete 
he is asleep 	il est endormi 
he is cranky 	il est excentrique 
he is eating 	il est en train de manger 
he is heroic 	il est heroique 
he is not in 	il n est pas chez lui 
he is not in 	il n est pas a l interieur 
he s english 	il est anglais 
he s a bigot 	c est un bigot 
he s a bigot 	c est un sectaire 
he s a bigot 	c est un fanatique 
he s a bigot 	c est un illumine 
he s in pain 	il souffre 
he s married 	il est marie 
he s my hero 	c est mon heros 
he s out now 	il est actuellement a l exterieur 
he s so cute 	il est si mignon 
he s so cute 	il est tellement mignon 
i am italian 	je suis italien 
i am ashamed 	j ai honte 
i am at home 	je suis a la maison 
i am curious 	je suis curieux 
i am married 	je suis mariee 
i am so sick 	je suis tellement malade 
i am so sick 	je suis si malade 
i am so sick 	c est moi qui suis tellement malade 
i am so sick 	c est moi qui suis si malade 
i am thirsty 	j ai soif 
i am working 	je suis en train de travailler 
i m a coward 	je suis un couard 
i m a coward 	je suis un lache 
i m a doctor 	je suis medecin 
i m a doctor 	je suis toubib 
i m a farmer 	je suis fermier 
i m a farmer 	je suis agriculteur 
i m a farmer 	je travaille dans ma ferme 
i m a farmer 	je suis un agriculteur 
i m a purist 	je suis un puriste 
i m addicted 	je suis drogue 
i m addicted 	je suis accro 
i m addicted 	j ai une assuetude 
i m all done 	j ai tout fini 
i m all done 	j ai tout termine 
i m all ears 	je suis tout ouie 
i m an adult 	je suis adulte 
i m an agent 	je suis un agent 
i m bleeding 	je suis en train de saigner 
i m confused 	je me melange les pinceaux 
i m creative 	je suis creatif 
i m creative 	je suis creative 
i m cultured 	je suis cultive 
i m cultured 	je suis cultivee 
i m divorced 	je suis divorce 
i m divorced 	je suis divorcee 
i m drowning 	je suis en train de me noyer 
i m eighteen 	j ai dix huit ans 
i m faithful 	je suis fidele 
i m famished 	je suis affame 
i m fearless 	je suis intrepide 
i m fighting 	je me bats 
i m finished 	j ai termine 
i m finished 	j en ai termine 
i m free now 	je suis libre maintenant 
i m freezing 	je suis gele 
i m grounded 	je suis cloue 
i m grounded 	je suis clouee 
i m gullible 	je suis credule 
i m homesick 	j ai le mal du pays 
i m hungover 	j ai la gueule de bois 
i m in paris 	je suis a paris 
i m innocent 	je suis innocent 
i m innocent 	je suis innocente 
i m innocent 	je suis ingenu 
i m innocent 	je suis ingenue 
i m involved 	je suis implique 
i m involved 	je suis impliquee 
i m managing 	je m en sors 
i m new here 	je suis nouveau ici 
i m no rebel 	je ne suis pas un rebelle 
i m no saint 	je ne suis pas un saint 
i m no saint 	je ne suis pas une sainte 
i m not busy 	je ne suis pas occupe 
i m not deaf 	je ne suis pas sourd 
i m not deaf 	je ne suis pas sourde 
i m not done 	je n ai pas fini 
i m not done 	je n ai pas termine 
i m not done 	je n en ai pas termine 
i m not dumb 	je ne suis pas abruti 
i m not dumb 	je ne suis pas abrutie 
i m not evil 	je ne suis pas mauvais 
i m not here 	je ne suis pas ici 
i m not here 	je ne suis pas la 
i m not home 	je ne suis pas chez moi 
i m not home 	je ne suis pas a la maison 
i m not hurt 	je ne suis pas blesse 
i m not hurt 	je ne suis pas blessee 
i m not mean 	je ne suis pas mechant 
i m not mean 	je ne suis pas mechante 
i m not rich 	je ne suis pas riche 
i m not sure 	je n en suis pas certain 
i m not sure 	je n en suis pas certaine 
i m not tall 	je ne suis pas grand 
i m not tall 	je ne suis pas grande 
i m not ugly 	je ne suis pas laid 
i m not ugly 	je ne suis pas laide 
i m not well 	je ne vais pas bien 
i m off duty 	je ne suis pas en service 
i m offended 	je suis offense 
i m offended 	je suis offensee 
i m outraged 	je suis indigne 
i m outraged 	je suis indignee 
i m powerful 	je suis puissant 
i m powerful 	je suis puissante 
i m prepared 	je suis pret 
i m prepared 	je suis preparee 
i m prepared 	je suis prepare 
i m punctual 	je suis ponctuel 
i m punctual 	je suis ponctuelle 
i m rational 	je suis rationnel 
i m rational 	je suis rationnelle 
i m reformed 	je me suis amende 
i m reformed 	je me suis amendee 
i m reliable 	je suis fiable 
i m restless 	je ne tiens pas en place 
i m ruthless 	je suis impitoyable 
i m shooting 	je tire 
i m sleeping 	je suis en train de dormir 
i m so sorry 	je suis tellement desole 
i m so sorry 	je suis tellement desolee 
i m so tired 	je suis si fatigue 
i m so tired 	je suis tellement las 
i m speaking 	je suis en train de parler 
i m starving 	je meurs de faim 
i m starving 	je creve de faim 
i m starving 	j ai la fringale 
i m stubborn 	je suis tetu 
i m stubborn 	je suis tetue 
i m stubborn 	je suis obstine 
i m stubborn 	je suis obstinee 
i m the boss 	c est moi le patron 
i m the boss 	c est moi la patronne 
i m the boss 	je suis le patron 
i m the boss 	je suis la patronne 
i m thinking 	je reflechis 
i m thorough 	je suis minutieux 
i m thorough 	je suis minutieuse 
i m thorough 	je suis consciencieux 
i m thorough 	je suis consciencieuse 
i m thrilled 	je suis ravi 
i m thrilled 	je suis ravie 
i m ticklish 	je suis chatouilleux 
i m ticklish 	je suis chatouilleuse 
i m too busy 	je suis trop occupe 
i m too busy 	je suis trop occupee 
i m too busy 	je suis trop affaire 
i m too busy 	je suis trop affairee 
i m truthful 	je dis la verite 
i m unbiased 	je suis impartial 
i m unbiased 	je suis impartiale 
i m upstairs 	je suis au dessus 
i m very fat 	je suis tres gros 
i m very fat 	je suis tres gras 
i m very sad 	je suis tres triste 
i m very shy 	je suis tres timide 
i m worn out 	je suis epuise 
she is a fox 	c est un renard 
she is lucky 	elle est chanceuse 
she is lucky 	elle est chancarde 
she is quiet 	elle est tranquille 
she is sharp 	elle est tranchante 
she is sharp 	elle est affutee 
she is wrong 	elle a tort 
she is young 	elle est jeune 
she shot him 	elle lui tira dessus 
she shot him 	elle le descendit 
she shrieked 	elle a crie 
she shrieked 	elle cria 
she stood up 	elle se leva 
she sued him 	elle l a poursuivi en justice 
she sued him 	elle le poursuivit en justice 
she sued him 	elle lui a fait un proces 
she sued him 	elle lui fit un proces 
they re back 	ils sont de retour 
they re back 	elles sont de retour 
they re boys 	ce sont des garcons 
they re cold 	ils sont froids 
they re cold 	elles sont froides 
they re cool 	ils sont sympa 
they re cool 	elles sont sympa 
they re cops 	ce sont des flics 
they re cute 	ils sont mignons 
they re cute 	elles sont mignonnes 
they re dead 	ils sont decedes 
they re dead 	elles sont decedees 
they re done 	ils ont termine 
they re done 	elles ont termine 
they re free 	ils sont libres 
they re free 	elles sont libres 
they re gone 	ils sont partis 
they re gone 	elles sont parties 
they re gone 	il n y en a plus 
they re here 	ils sont la 
they re mine 	ils sont a moi 
they re mine 	ils sont miens 
they re mine 	ce sont les miens 
they re mine 	ce sont les miennes 
they re mine 	elles sont miennes 
they re mine 	elles sont a moi 
they re rich 	ils sont riches 
they re rich 	elles sont riches 
they re weak 	ils sont faibles 
they re weak 	elles sont faibles 
we are arabs 	nous sommes arabes 
we are happy 	nous sommes heureux 
we re a team 	nous sommes une equipe 
we re adults 	nous sommes des adultes 
we re all ok 	nous allons tous bien 
we re at war 	nous sommes en guerre 
we re biased 	notre point de vue est biaise 
we re biased 	nous avons des prejuges 
we re buying 	nous achetons 
we re closed 	nous sommes fermes 
we re coming 	nous venons 
we re dating 	nous sortons ensemble 
we re doomed 	nous sommes condamnes 
we re hiding 	nous nous cachons 
we re inside 	nous sommes a l interieur 
we re joking 	nous plaisantons 
we re losing 	nous perdons 
we re losing 	nous sommes en train de perdre 
we re moving 	nous sommes en train de bouger 
we re normal 	nous sommes normaux 
we re normal 	nous sommes normales 
we re paying 	nous sommes en train de payer 
we re pooped 	nous sommes creves 
we re pooped 	nous sommes crevees 
we re ruined 	nous sommes ruines 
we re ruined 	nous sommes ruinees 
we re shaken 	nous sommes remues 
we re shaken 	nous sommes remuees 
we re sneaky 	nous sommes sournois 
we re sneaky 	nous sommes sournoises 
we re strong 	nous sommes forts 
we re strong 	nous sommes fortes 
we re trying 	nous essayons 
you are good 	vous etes bon 
you are good 	vous etes bonne 
you are good 	vous etes bons 
you are good 	vous etes bonnes 
you are good 	tu es bon 
you are good 	tu es bonne 
you are late 	tu es en retard 
you are late 	vous etes en retard 
you are rich 	vous etes riches 
you re bossy 	tu joues au chef 
you re bossy 	tu fais le chef 
you re crazy 	tu es fou 
you re cruel 	tu es cruelle 
you re cruel 	tu es cruel 
you re cruel 	vous etes cruelle 
you re cruel 	vous etes cruelles 
you re cruel 	vous etes cruel 
you re cruel 	vous etes cruels 
you re early 	tu viens tot 
you re early 	vous etes matinal 
you re early 	vous etes matinale 
you re early 	tu es matinal 
you re early 	tu es matinale 
you re early 	tu es en avance 
you re early 	vous etes en avance 
you re fired 	tu es vire 
you re fired 	tu es licencie 
you re first 	tu es en premier 
you re first 	tu passes en premier 
you re first 	vous etes en premier 
you re funny 	t es marrante 
you re funny 	t es marrant 
you re funny 	vous etes marrants 
you re funny 	vous etes marrantes 
you re funny 	vous etes marrant 
you re funny 	vous etes marrante 
you re fussy 	tu es difficile 
you re fussy 	tu fais des manieres 
you re fussy 	vous faites des manieres 
you re gross 	tu es malpoli 
you re lying 	tu mens 
you re lying 	vous mentez 
you re lying 	vous mentez 
you re moody 	tu es lunatique 
you re naive 	tu es naif 
you re naive 	tu es naive 
you re naive 	vous etes naif 
you re naive 	vous etes naive 
you re naive 	vous etes naifs 
you re naive 	vous etes naives 
you re quiet 	tu es calme 
you re quiet 	tu es tranquille 
you re right 	tu as raison 
you re silly 	tu es idiot 
you re silly 	vous etes idiot 
you re silly 	vous etes idiote 
you re silly 	tu es idiote 
you re silly 	vous etes idiots 
you re silly 	vous etes idiotes 
you re stuck 	t es plante 
you re stuck 	t es plantee 
you re stuck 	vous etes plantes 
you re stuck 	vous etes plantees 
you re stuck 	vous etes plantee 
you re stuck 	vous etes plante 
you re tough 	tu es dure 
you re tough 	tu es dur 
you re tough 	vous etes dur 
you re tough 	vous etes dure 
you re tough 	vous etes durs 
you re tough 	vous etes dures 
you re upset 	tu es contrariee 
you re upset 	tu es contrarie 
you re weird 	tu es bizarre 
you re weird 	vous etes bizarre 
you re weird 	vous etes bizarres 
you re wrong 	tu es dans l erreur 
you re wrong 	tu as tort 
you re young 	tu es jeune 
you re young 	vous etes jeune 
you re young 	vous etes jeunes 
he is british 	il est britannique 
he is english 	il est anglais 
he is a thief 	c est un voleur 
he is foolish 	il est idiot 
he is my boss 	c est mon patron 
he is my type 	il est mon genre 
he is no fool 	il n est pas idiot 
he is no fool 	il n est pas fou 
he is out now 	il est actuellement sorti 
he is reading 	il lit 
he is reading 	il est en train de lire 
he is running 	il court 
he is skating 	il fait du patin 
he is skating 	il patine 
he is too old 	il est trop vieux 
he s a grouch 	c est un rouspeteur 
he s a jesuit 	il est jesuite 
he s a senior 	c est un aine 
he s a senior 	c est un ancien 
he s a senior 	c est un retraite 
he s a tycoon 	c est un magnat 
he s addicted 	il est accro 
he s addicted 	il a une assuetude 
he s addicted 	il est drogue 
he s adorable 	il est adorable 
he s after me 	il est derriere moi 
he s after me 	il est apres moi 
he s after me 	il est apres mes fesses 
he s after me 	il me poursuit 
he s annoying 	il est embetant 
he s demented 	il est fou 
he s in tokyo 	il est a tokyo 
he s innocent 	il est innocent 
he s innocent 	il est ingenu 
he s insecure 	il est peu sur de lui 
he s insecure 	il manque de confiance en lui 
he s no saint 	il n est pas un saint 
he s no saint 	ce n est pas un saint 
he s not home 	il n est pas a la maison 
he s not sick 	il n est pas malade 
he s outraged 	il est indigne 
he s ruthless 	il est impitoyable 
he s ruthless 	il est sans pitie 
he s so young 	il est si jeune 
he s so young 	il est tellement jeune 
he s studying 	il etudie 
he s studying 	il est en train d etudier 
he s too busy 	il est trop occupe 
he s too slow 	il est trop lent 
he s very ill 	il est tres malade 
he s very ill 	il est fort malade 
he s your son 	il est ton fils 
he s your son 	c est ton fils 
he s your son 	c est votre fils 
he s your son 	il est votre fils 
i am american 	je suis americain 
i am american 	je suis americaine 
i am japanese 	je suis japonais 
i am a muslim 	je suis musulman 
i am a muslim 	je suis musulmane 
i am a muslim 	je suis musulman 
i am a runner 	je suis un coureur 
i am all ears 	je suis tout ouie 
i am diabetic 	je suis diabetique 
i am divorced 	je suis divorce 
i am divorced 	je suis divorcee 
i am in paris 	je suis a paris 
i am new here 	je suis nouveau ici 
i am new here 	je suis nouveau ici 
i am not deaf 	je ne suis pas sourd 
i am so sorry 	je suis tellement desole 
i am so sorry 	je suis tellement desolee 
i am very sad 	je suis tres triste 
i m a patient 	je suis un patient 
i m a patient 	je suis une patiente 
i m a student 	je suis etudiant 
i m a teacher 	je suis professeur 
i m a teacher 	je suis enseignante 
i m adaptable 	je m adapte 
i m afraid so 	j en ai peur 
i m all alone 	je suis tout seul 
i m all right 	je vais bien 
i m all yours 	je suis tout a toi 
i m all yours 	je suis tout a vous 
i m all yours 	je suis toute a toi 
i m all yours 	je suis toute a vous 
i m ambitious 	je suis ambitieuse 
i m ambitious 	je suis ambitieux 
